company_name,job_title,role_category,company_sector,city,region,technical_skills_required,employment_type,work_mode,experience_required_years,education_required,English_required_level,Danish_required_level,salary_min_dkk_monthly,salary_max_dkk_monthly,experience_level,soft_skills_required
Digital AI Studio ApS,Junior Data Engineer Intern,Data Engineer,Technology,Odense,Southern Denmark,"SQL Basics, Excel, Git, Python Basics, Data Cleaning, Linux Basics, Bash Scripting, Docker Basics, Data Pipeline Basics, Cloud Basics",Internship,Hybrid,0,Bachelor's Degree,Intermediate,Basic,40000,50000,Entry Level,"Problem Solving, Collaboration, Attention to Detail, Communication, Willingness to Learn, Adaptability, Curiosity, Teamwork, Analytical Thinking, Responsibility"
Nordic AI Studio ApS,ML/AI,ML/AI,Technology,Copenhagen,Capital Region,"Python, Scikit-learn, Model Deployment, ML Pipelines, Feature Engineering, Docker",Full-time,Hybrid,2,Master's Degree,Advanced,Danish not required,55000,65000,Mid Level,"Critical Thinking, Research Mindset, Problem Solving, Analytical Thinking, Collaboration, Curiosity, Adaptability, Communication, Attention to Detail, Continuous Learning, Ownership, Business Understanding"
Odense DataWorks ApS,Senior Data Engineer,Data Engineer,Technology,Odense,Southern Denmark,"Apache Spark, Kafka, Python, SQL, Data Architecture, Airflow, Kubernetes, Terraform, AWS, Azure, Data Warehousing, Distributed Systems, Docker, CI/CD Pipelines, Linux, ETL Pipeline Design, Git",Full-time,On-site,6,Master's Degree,Fluent,Basic,62000,72000,Senior Level,"Leadership, Ownership, Stakeholder Communication, Mentoring, Cross-team Collaboration, Strategic Thinking, Problem Solving, Decision Making, System Design Thinking, Critical Thinking, Business Understanding, Communication, Project Management, Adaptability, Team Leadership"
Cloud Design ApS,Product Analyst,Data Analyst,Technology,Aalborg,North Denmark,"SQL, Excel, Power BI, Product Analytics, Data Visualization, A/B Testing, Python, KPI Analysis, Business Understanding, Tableau, Data Storytelling, Google Analytics",Full-time,On-site,4,Bachelor's Degree,Advanced,Basic,55000,65000,Senior Level,"Communication, Analytical Thinking, Problem Solving, Business Understanding, Critical Thinking, Stakeholder Collaboration, Curiosity, Attention to Detail, Data Storytelling, Adaptability, Presentation Skills, Teamwork, Decision Making"
Copenhagen Solutions ApS,UX/UI Designer,UX,Consulting,Copenhagen,Capital Region,"Figma, Adobe XD, Wireframing, Prototyping, User Research, Interaction Design, Usability Testing, Design Systems, business analysis, reporting",Full-time,Hybrid,2,Master's Degree,Advanced,Intermediate,48000,58000,Mid Level,"Creativity, Communication, Empathy, Collaboration, Problem Solving, User-Centered Thinking, Attention to Detail, Critical Thinking, Adaptability, Presentation Skills, Teamwork, Visual Thinking, Stakeholder Communication"
Baltic DataWorks ApS,Junior Reporting Analyst,Data Analyst,Technology,Aarhus,Central Denmark,"Excel, SQL Basics, Power BI, Data Cleaning, Google Sheets, Data Visualization, Basic Reporting, Pivot Tables, Communication, KPI Reporting",Full-time,Hybrid,1,Bachelor's Degree,Intermediate,Intermediate,35000,45000,Entry Level,"Attention to Detail, Communication, Analytical Thinking, Collaboration, Problem Solving, Willingness to Learn, Teamwork, Adaptability, Responsibility, Curiosity"
Data Energy ApS,Junior Product Analyst,Data Analyst,Energy,Copenhagen,Capital Region,"Power BI, Excel, A/B Testing, SQL, Data Visualization, KPI Analysis, Experimentation, Data Analysis, Python, energy systems analysis, sustainability analysis, data modeling, forecasting",Full-time,Remote,1,Bachelor's Degree,Intermediate,Danish not required,35000,45000,Entry Level,"Curiosity, Communication, Analytical Thinking, Collaboration, Problem Solving, Attention to Detail, Teamwork, Willingness to Learn, Adaptability, Critical Thinking"
Data AI Studio ApS,Reporting Analyst,Data Analyst,Technology,Esbjerg,Southern Denmark,"SQL, Excel, Power BI, Data Visualization, Reporting Tools, KPI Reporting, Data Cleaning, Tableau, Business Reporting, DAX, Google Sheets",Full-time,Hybrid,4,Master's Degree,Intermediate,Intermediate,55000,65000,Senior Level,"Analytical Thinking, Attention to Detail, Stakeholder Collaboration, Communication, Data Storytelling, Problem Solving, Business Understanding, Critical Thinking, Adaptability, Presentation Skills, Collaboration, Responsibility"
Zealand Tech ApS,ML/AI,ML/AI,Technology,Odense,Southern Denmark,"Python, TensorFlow, PyTorch, Scikit-learn, SQL, Pandas, Feature Engineering, Model Training, Data Preprocessing, Machine Learning Algorithms, Docker, Git",Full-time,Hybrid,3,Master's Degree,Fluent,Danish not required,55000,65000,Mid Level,"Research Mindset, Analytical Thinking, Problem Solving, Critical Thinking, Collaboration, Curiosity, Communication, Attention to Detail, Adaptability, Continuous Learning, Ownership, Business Understanding"
Harbor DataWorks ApS,BI Analyst,BI,Technology,Odense,Southern Denmark,"Power BI, SQL, Reporting, Data Analysis, Business Intelligence, Python, Excel, Tableau, Supply Chain Analysis, Logistics KPIs, Inventory Analysis",Full-time,Remote,2,Bachelor's Degree,Intermediate,Intermediate,48000,58000,Mid Level,"Business Understanding, Data Storytelling, Analytical Thinking, Stakeholder Communication, Problem Solving, Attention to Detail, Collaboration, Critical Thinking, Communication, Decision Making, Adaptability, Presentation Skills"
Cloud Foods ApS,Junior Data Analyst,Data Analyst,Retail,Copenhagen,Capital Region,"Power BI, Data Cleaning, Data Visualization, Business Intelligence, Excel, SQL, Dashboard Development, Python, KPI Analysis, Sales Analysis, Customer Insights, POS Systems, Demand Planning",Full-time,On-site,1,Bachelor's Degree,Intermediate,Intermediate,35000,45000,Entry Level,"Analytical Thinking, Curiosity, Attention to Detail, Communication, Problem Solving, Teamwork, Adaptability, Collaboration, Willingness to Learn, Critical Thinking"
Blue Services ApS,Senior AI/ML Engineer,ML/AI,Consulting,Copenhagen,Capital Region,"Python, TensorFlow, PyTorch, NLP, Computer Vision, MLOps, Model Deployment, ML Pipelines, SQL, Data Modeling, Data Analysis, Feature Engineering, Stakeholder Management, Reporting, Business Analysis, Service Analytics, Customer Insights, Process Optimization",Full-time,Remote,5,Bachelor's Degree,Advanced,Intermediate,65000,75000,Senior Level,"Leadership, Strategic Thinking, System Design Thinking, Mentoring, Ownership, Stakeholder Communication, Decision Making, Critical Thinking, Cross-team Collaboration, Problem Solving, Business Understanding, Communication, Adaptability, Project Leadership"
Nordic AI Studio ApS,UX/UI Designer,UX,Technology,Copenhagen,Capital Region,"Figma, Adobe XD, Wireframing, Prototyping, User Research, Interaction Design, Usability Testing, Design Systems, UX Design, UI Design, Information Architecture, User Flows, AI Product Design, Human-Centered Design, Usability Optimization",Full-time,Hybrid,3,Master's Degree,Intermediate,Intermediate,48000,58000,Mid Level,"Creativity, Communication, Empathy, Collaboration, Problem Solving, User-Centered Thinking, Attention to Detail, Critical Thinking, Adaptability, Presentation Skills, Teamwork, Visual Thinking, Stakeholder Communicatio"
Digital Systems ApS,Junior AI/ML Engineer,ML/AI,Technology,Copenhagen,Capital Region,"Python, TensorFlow, Computer Vision, Deep Learning, Basic MLOps, Model Deployment, ML Pipelines, Feature Engineering, SQL, Data Modeling, Data Analysis, Data Preprocessing, AI Solutions Development",Full-time,On-site,1,Bachelor's Degree,Intermediate,Basic,42000,52000,Entry Level,"Communication, Problem Solving, Analytical Thinking, Curiosity, Willingness to Learn, Teamwork, Adaptability, Attention to Detail, Collaboration, Critical Thinking"
Nordi Mobility ApS,Product Analyst,Data Analyst,Other,Aalborg,North Denmark,"SQL, Excel, Data Analysis, Data Visualization, KPI Analysis, Tableau, Power BI, A/B Testing, Experimentation, Python, Product Analytics, Dashboard Development, User Behavior Analysis, Mobility Analytics, Customer Journey Analysis",Full-time,Remote,2,Bachelor's Degree,Fluent,Danish not required,45000,55000,Mid Level,"Communication, Analytical Thinking, Problem Solving, Business Understanding, Critical Thinking, Stakeholder Collaboration, Curiosity, Attention to Detail, Data Storytelling, Adaptability, Presentation Skills, Teamwork, Decision Making"
Blue Services ApS,Data Engineer,Data Engineer,Consulting,Copenhagen,Capital Region,"Docker, AWS, SQL, Python, Apache Spark, Airflow, Kubernetes, ETL Pipelines, Linux, Terraform, Data Warehousing, CI/CD Pipelines",Part-time,Hybrid,2,Master's Degree,Advanced,Basic,50000,62000,Mid Level,"Problem Solving, Communication, Analytical Thinking, Collaboration, Critical Thinking, Adaptability, Ownership, Attention to Detail, Stakeholder Communication, Teamwork, Business Understanding, Continuous Learning"
Jutland Finance ApS,Data Analyst,Data Analyst,Finance,Aarhus,Central Denmark,"SQL, Excel, Advanced Excel, Data Analysis, Data Cleaning, Data Visualization, KPI Analysis, Dashboard Development, Power BI, Python, Statistics, Financial Analysis, Financial Modeling, Risk Assessment, Regulatory Reporting, Reporting, Business Performance Analysis",Full-time,Hybrid,4,Bachelor's Degree,Advanced,Intermediate,55000,65000,Senior Level,"Communication, Analytical Thinking, Problem Solving, Attention to Detail, Critical Thinking, Data Storytelling, Business Understanding, Collaboration, Adaptability, Stakeholder Communication, Teamwork, Curiosity"
Odense DataWorks ApS,Junior Data Analyst,Data Analyst,Technology,Odense,Southern Denmark,"SQL, Excel, Data Cleaning, Data Visualization, KPI Analysis, Dashboard Development, Power BI, Tableau, Basic Data Analysis, Business Intelligence, Reporting, Learning Ability, Data Interpretation",Full-time,Hybrid,2,Master's Degree,Advanced,Basic,45000,55000,Mid Level,"Communication, Analytical Thinking, Attention to Detail, Problem Solving, Curiosity, Teamwork, Willingness to Learn, Adaptability, Collaboration, Critical Thinking"
Cloud Foods ApS,Reporting Analyst,Data Analyst,Retail,Copenhagen,Capital Region,"SQL, Excel, Advanced Excel, Power BI, Reporting, Dashboard Development, Data Analysis, Data Visualization, KPI Reporting, Python, Sales Analysis, Customer Insights, POS Systems, Demand Forecasting, Retail Analytics, Business Reporting",Full-time,Remote,2,Bachelor's Degree,Advanced,Danish not required,45000,55000,Mid Level,"Communication, Analytical Thinking, Attention to Detail, Problem Solving, Stakeholder Collaboration, Business Understanding, Critical Thinking, Adaptability, Responsibility, Data Storytelling, Teamwork, Time Management"
Scandi Finance ApS,Junior Data Analyst,Data Analyst,Finance,Odense,Southern Denmark,"SQL, Excel, Advanced Excel, Data Cleaning, Data Visualization, KPI Analysis, Dashboard Development, Power BI, Basic Python, Data Analysis, Business Intelligence, Financial Analysis, Financial Modeling, Risk Assessment, Regulatory Reporting, Reporting, Finance Analytics",Internship,Hybrid,0,Bachelor's Degree,Intermediate,Intermediate,35000,45000,Entry Level,"Communication, Analytical Thinking, Attention to Detail, Problem Solving, Curiosity, Teamwork, Willingness to Learn, Adaptability, Collaboration, Critical Thinking"
Digital Systems ApS,UX/UI Designer,UX,Technology,Copenhagen,Capital Region,"Figma, Adobe XD, Wireframing, Prototyping, User Research, Interaction Design, Usability Testing, Design Systems, UX Design, UI Design, Information Architecture, User Flows, Digital Product Design, System Design, Usability Optimization",Full-time,Hybrid,4,Master's Degree,Intermediate,Danish not required,58000,68000,Senior Level,"Creativity, Communication, Empathy, Collaboration, Problem Solving, User-Centered Thinking, Attention to Detail, Critical Thinking, Adaptability, Presentation Skills, Teamwork, Visual Thinking, Stakeholder Communication"
Cloud Analytics ApS,Junior Data Analyst,Data Analyst,Technology,Copenhagen,Capital Region,"SQL, Excel, Data Cleaning, Data Visualization, KPI Analysis, Dashboard Development, Power BI, Basic Python, Statistics, Data Analysis, Business Intelligence, Reporting, Data Interpretation, Analytics Support",Part-time,Remote,1,Master's Degree,Intermediate,Intermediate,35000,45000,Entry Level,"Communication, Analytical Thinking, Attention to Detail, Problem Solving, Curiosity, Teamwork, Willingness to Learn, Adaptability, Collaboration, Critical Thinkin"
Viking Analytics A/S,Product Analyst,Data Analyst,Technology,Copenhagen,Capital Region,"SQL, Excel, Data Analysis, Data Visualization, KPI Analysis, Tableau, Power BI, A/B Testing, Experimentation, Product Analytics, Dashboard Development, User Behavior Analysis, Customer Insights, Business Performance Analysis",Full-time,On-site,3,Bachelor's Degree,Fluent,Danish not required,45000,55000,Mid Level,"Communication, Analytical Thinking, Problem Solving, Business Understanding, Critical Thinking, Stakeholder Collaboration, Curiosity, Attention to Detail, Data Storytelling, Adaptability, Presentation Skills, Teamwork, Decision Making"
Odense DataWorks ApS,Junior Data Engineer Intern,Data Engineer,Technology,Odense,Southern Denmark,"SQL, Python Basics, Linux, Git, Data Cleaning, Excel, Bash Scripting, Docker Basics, Data Pipeline Basics, Cloud Basics",Internship,On-site,0,Bachelor's Degree,Intermediate,Basic,40000,50000,Entry Level,"Communication, Problem Solving, Willingness to Learn, Teamwork, Adaptability, Attention to Detail, Curiosity, Analytical Thinking, Responsibility, Collaboration"
Nordic AI Studio ApS,UX/UI Designer,UX,Technology,Copenhagen,Capital Region,"Figma, Adobe XD, Wireframing, Prototyping, User Research, Interaction Design, Usability Testing, Design Systems, UX Design, UI Design, Information Architecture, User Flows, AI Product Design, Human-Centered Design, Usability Optimization",Full-time,On-site,3,Bachelor's Degree,Intermediate,Basic,48000,58000,Mid Level,"Creativity, Communication, Empathy, Collaboration, Problem Solving, User-Centered Thinking, Attention to Detail, Critical Thinking, Adaptability, Presentation Skills, Teamwork, Visual Thinking, Stakeholder Communication"
Future Design ApS,Data Engineer,Data Engineer,Technology,Aarhus,Central Denmark,"Python, SQL, Apache Spark, Airflow, AWS, Docker, Kubernetes, Data Warehousing, ETL Pipelines, Terraform, Linux, CI/CD Pipelines, Git",Full-time,On-site,3,Bachelor's Degree,Advanced,Basic,50000,62000,Mid Level,"Problem Solving, Communication, Analytical Thinking, Collaboration, Critical Thinking, Adaptability, Ownership, Attention to Detail, Stakeholder Communication, Teamwork, Business Understanding, Continuous Learning"
Cloud Analytics ApS,Data Analyst,Data Analyst,Technology,Copenhagen,Capital Region,"SQL, Excel, Data Cleaning, Data Analysis, Data Visualization, KPI Analysis, Dashboard Development, Power BI, Tableau, Python, Statistics, Business Intelligence, Reporting, Data Interpretation, Analytics Support",Full-time,Hybrid,4,Bachelor's Degree,Advanced,Basic,55000,65000,Senior Level,"Analytical Thinking, Communication, Problem Solving, Business Understanding, Data Storytelling, Stakeholder Collaboration, Critical Thinking, Attention to Detail, Collaboration, Adaptability, Curiosity, Decision Making"
Viking Services ApS,Junior AI/ML Engineer,ML/AI,Consulting,Copenhagen,Capital Region,"Python, TensorFlow, Basic Deep Learning, Data Preprocessing, Feature Engineering, SQL, Data Analysis",Full-time,On-site,1,Bachelor's Degree,Intermediate,Basic,42000,52000,Entry Level,"Analytical Thinking, Problem Solving, Curiosity, Willingness to Learn, Critical Thinking, Attention to Detail, Communication, Collaboration, Adaptability, Research Mindset, Teamwork, Persistence"
Digital AI Studio ApS,Senior Reporting Analyst,Data Analyst,Technology,Odense,Southern Denmark,"SQL, Advanced Excel, Power BI, Tableau, Reporting, Dashboard Development, Data Analysis, Data Visualization, KPI Reporting, Python, Business Intelligence, Data Modeling, Performance Analysis, Reporting Automation",Full-time,Remote,4,Master's Degree,Fluent,Basic,55000,65000,Senior Level,"Stakeholder Communication, Leadership, Data Storytelling, Business Understanding, Decision Making, Critical Thinking, Ownership, Mentoring, Problem Solving, Cross-team Collaboration, Strategic Thinking, Attention to Detail, Presentation Skills"
Viking Analytics A/S,Data Engineer,Data Engineer,Technology,Copenhagen,Capital Region,"SQL, Python, Apache Spark, Airflow, AWS, Docker, Git, Kubernetes, ETL Pipelines, Data Warehousing, Terraform, Linux, CI/CD Pipelines",Full-time,Hybrid,4,Master's Degree,Intermediate,Basic,62000,72000,Senior Level,"Problem Solving, Analytical Thinking, Attention to Detail, Collaboration, Communication, Ownership, Adaptability, Critical Thinking, Stakeholder Collaboration, Continuous Learning, Reliability Mindset, Teamwork"
Data Retail ApS,AI/ML Engineer,ML/AI,Retail,Odense,Southern Denmark,"Python, SQL, Scikit-learn, TensorFlow, PyTorch, Pandas, Feature Engineering, Model Training, Data Preprocessing, Docker, Git, Machine Learning Algorithms",Full-time,Remote,2,Bachelor's Degree,Advanced,Intermediate,55000,65000,Mid Level,"Analytical Thinking, Problem Solving, Critical Thinking, Research Mindset, Curiosity, Communication, Collaboration, Adaptability, Attention to Detail, Business Understanding, Continuous Learning, Ownership"
Clever Tech ApS,Senior AI/ML Engineer,ML/AI,Technology,Aarhus,Central Denmark,"Python, TensorFlow, PyTorch, Deep Learning, NLP, Computer Vision, MLOps, Model Deployment, ML Pipelines, Feature Engineering, Data Modeling, Data Pipelines, ETL, SQL, Data Analysis, Distributed Systems, Scalability, Performance Optimization, System Design, Stakeholder Management, Technical Leadership",Part-time,Remote,6,Master's Degree,Advanced,Basic,65000,75000,Senior Level,"Leadership, Strategic Thinking, System Design Thinking, Research Leadership, Decision Making, Mentoring, Ownership, Critical Thinking, Stakeholder Communication, Cross-team Collaboration, Business Understanding, Problem Solving, Innovation Mindset, Project Leadership"
Copenhagen Retail ApS,Senior AI/ML Engineer,ML/AI,Retail,Copenhagen,Capital Region,"Python, TensorFlow, PyTorch, Deep Learning, NLP, Computer Vision, MLOps, Model Deployment, ML Pipelines, Feature Engineering, Data Modeling, Data Pipelines, ETL, SQL, Data Analysis, Distributed Systems, Scalability, Performance Optimization, System Design, Stakeholder Management, Technical Leadership, Customer Insights, Demand Forecasting, Retail Analytics",Part-time,Remote,5,Master's Degree,Advanced,Basic,65000,75000,Senior Level,"Leadership, Strategic Thinking, System Design Thinking, Research Leadership, Decision Making, Mentoring, Ownership, Critical Thinking, Stakeholder Communication, Cross-team Collaboration, Business Understanding, Problem Solving, Innovation Mindset, Project Leadership"
Dansk Systems ApS,Junior Data Engineer Intern,Data Engineer,Technology,Odense,Southern Denmark,"Excel, SQL Basics, Git, Python Basics, Data Cleaning, Linux Basics, Bash Scripting, Docker Basics, Data Pipeline Basics, Cloud Basics",Internship,On-site,0,Bachelor's Degree,Intermediate,Danish not required,40000,50000,Entry Level,"Problem Solving, Willingness to Learn, Attention to Detail, Curiosity, Collaboration, Communication, Adaptability, Analytical Thinking, Teamwork, Reliability Mindset, Persistence, Responsibility"
Cloud Design ApS,BI Analyst,BI,Technology,Aalborg,North Denmark,"SQL, Tableau, Reporting, Dashboard Development, Data Analysis, Data Visualization, Business Intelligence, Excel, Python, KPI Reporting, Reporting Automation",Full-time,On-site,2,Bachelor's Degree,Intermediate,Basic,48000,58000,Mid Level,"Analytical Thinking, Data Storytelling, Business Understanding, Stakeholder Communication, Problem Solving, Attention to Detail, Critical Thinking, Collaboration, Communication, Decision Making, Adaptability, Presentation Skills"
Green Design ApS,UX/UI Designer,UX,Other,Copenhagen,Capital Region,"Figma, Adobe XD, Wireframing, Prototyping, User Research, Interaction Design, Usability Testing, Design Systems, UX Design, UI Design, Information Architecture, User Flows, Usability Optimization",Part-time,Remote,4,Master's Degree,Intermediate,Basic,58000,68000,Senior Level,"Creativity, Empathy, User-Centered Thinking, Communication, Collaboration, Problem Solving, Attention to Detail, Critical Thinking, Visual Thinking, Adaptability, Stakeholder Communication, Presentation Skills"
Odense DataWorks ApS,Data Engineer,Data Engineer,Technology,Odense,Southern Denmark,"Docker, SQL, Kubernetes, AWS, Python, Airflow, Linux, ETL Pipelines, Terraform, Apache Spark, CI/CD Pipelines, Data Warehousing, Git",Part-time,On-site,4,Master's Degree,Intermediate,Danish not required,62000,72000,Senior Level,"Problem Solving, Analytical Thinking, Attention to Detail, Ownership, Collaboration, Communication, Reliability Mindset, Critical Thinking, Adaptability, Stakeholder Collaboration, Continuous Learning, Responsibility"
Odense Labs ApS,Junior Data Analyst,Data Analyst,Technology,Odense,Southern Denmark,"SQL, Excel, Data Cleaning, Data Visualization, KPI Analysis, Dashboard Development, Power BI, Basic Python, Data Analysis",Part-time,Remote,0,Master's Degree,Intermediate,Intermediate,35000,45000,Entry Level,"Curiosity, Communication, Analytical Thinking, Teamwork, Attention to Detail, Problem Solving, Adaptability, Collaboration, Willingness to Learn, Critical Thinking"
Data AI Studio ApS,Senior Reporting Analyst,Data Analyst,Technology,Esbjerg,Southern Denmark,"SQL, Advanced Excel, Power BI, Tableau, Reporting, Dashboard Development, Data Analysis, Data Visualization, KPI Reporting, Python, Business Intelligence, Data Modeling, Reporting Automation, Performance Analysis, System Optimization",Part-time,Hybrid,5,Bachelor's Degree,Advanced,Intermediate,55000,65000,Senior Level,"Business Understanding, Leadership, Stakeholder Communication, Data Storytelling, Ownership, Critical Thinking, Cross-team Collaboration, Presentation Skills, Strategic Thinking, Problem Solving, Mentoring, Decision Making, Attention to Detail"
Scandi Tech ApS,AI/ML Engineer,ML/AI,Technology,Esbjerg,Southern Denmark,"Python, TensorFlow, PyTorch, SQL, Scikit-learn, Pandas, Feature Engineering, Model Training, Data Preprocessing, Machine Learning Algorithms, Docker, Git",Part-time,Remote,3,Bachelor's Degree,Advanced,Intermediate,55000,65000,Mid Level,"Critical Thinking, Collaboration, Research Mindset, Problem Solving, Analytical Thinking, Adaptability, Curiosity, Communication, Attention to Detail, Continuous Learning, Business Understanding, Ownership"
Harbor Analytics ApS,Junior Data Analyst,Data Analyst,Technology,Aalborg,North Denmark,"SQL, Excel, Data Cleaning, Data Visualization, KPI Analysis, Dashboard Development, Power BI, Basic Python, Data Analysis",Full-time,Hybrid,1,Bachelor's Degree,Advanced,Intermediate,35000,45000,Entry Level,"Attention to Detail, Curiosity, Communication, Problem Solving, Teamwork, Analytical Thinking, Adaptability, Willingness to Learn, Collaboration, Critical Thinking"
Nordic Tech ApS,ML/AI,ML/AI,Technology,Odense,Southern Denmark,"Python, Scikit-learn, Machine Learning, Model Deployment, ML Pipelines, Feature Engineering, Docker, SQL, Data Analysis, MLOps, Data Pipelines",Full-time,On-site,2,PhD,Fluent,Danish not required,55000,65000,Mid Level,"Problem Solving, Research Mindset, Critical Thinking, Collaboration, Analytical Thinking, Curiosity, Adaptability, Communication, Continuous Learning, Attention to Detail, Ownership, Business Understanding"
Viking Analytics A/S,Junior Data Engineer Intern,Data Engineer,Technology,Copenhagen,Capital Region,"SQL Basics, Python Basics, Git, Excel, Data Cleaning, Linux Basics, Bash Scripting, Docker Basics, Cloud Basics, Data Pipeline Basics",Internship,On-site,0,Bachelor's Degree,Intermediate,Danish not required,40000,50000,Entry Level,"Attention to Detail, Collaboration, Problem Solving, Curiosity, Communication, Reliability Mindset, Willingness to Learn, Adaptability, Teamwork, Analytical Thinking, Responsibility, Persistence"
Aarhus Software ApS,Junior Data Engineer Intern,Data Engineer,Technology,Aarhus,Central Denmark,"Python Basics, SQL Basics, Git, Data Cleaning, Excel, Linux Basics, Bash Scripting, Docker Basics, Cloud Basics, Data Pipeline Basics",Internship,Hybrid,0,Bachelor's Degree,Intermediate,Danish not required,40000,50000,Entry Level,"Collaboration, Problem Solving, Attention to Detail, Willingness to Learn, Communication, Curiosity, Teamwork, Adaptability, Analytical Thinking, Responsibility"
Copenhagen Solutions ApS,Data Analyst,Data Analyst,Consulting,Copenhagen,Capital Region,"SQL, Power BI, Tableau, Excel, Python, Statistics, Data Analysis, Data Visualization, Data Cleaning, Business Intelligence, KPI Analysis, Dashboard Development",Full-time,Remote,4,Master's Degree,Advanced,Basic,55000,65000,Senior Level,"Analytical Thinking, Communication, Problem Solving, Attention to Detail, Data Storytelling, Collaboration, Critical Thinking, Business Understanding, Adaptability, Stakeholder Communication, Curiosity, Decision Making"
